Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-152929,50926093084,6/2/2023 16:50,6/2/2023 17:10,6/2/2023 18:26,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,S,S3,RAINIER VIEW,51XX BLOCK OF S AVON ST,-122.2693541,47.50125349
2023-152945,50926057093,6/2/2023 16:50,6/2/2023 17:08,6/2/2023 18:20,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,4XX BLOCK OF 5TH AVE S,-122.3276688,47.5987754
2023-152926,50926148272,6/2/2023 16:30,,6/2/2023 18:39,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,S,O,O3,GEORGETOWN,61XX BLOCK OF 4TH AVE S,-122.3295862,47.54669394
2023-909414,50952263579,6/2/2023 16:15,6/5/2023 8:00,6/6/2023 9:53,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,J,J2,BALLARD NORTH,80XX BLOCK OF 32ND AVE NW,-122.3983215,47.68865697
2023-909253,50926659960,6/2/2023 15:30,6/2/2023 15:40,6/2/2023 20:23,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,B,B1,BALLARD SOUTH,54XX BLOCK OF 15TH AVE NW,-122.3762151,47.66827912
2023-152847,50926355715,6/2/2023 15:29,,6/2/2023 19:17,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,E,G,G2,CENTRAL AREA/SQUIRE PARK,1XX BLOCK OF 21ST AVE,-122.3050416,47.60309155
2023-152790,50926124904,6/2/2023 14:40,6/2/2023 14:40,6/2/2023 18:33,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,W,K,K1,DOWNTOWN COMMERCIAL,9XX BLOCK OF 4TH AVE,-122.3325828,47.60573106
2023-152788,50925368794,6/2/2023 14:38,,6/2/2023 16:14,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SW,F,F2,ROXHILL/WESTWOOD/ARBOR HEIGHTS,26XX BLOCK OF SW BARTON ST,-122.367312,47.52102758
2023-153956,50933636708,6/2/2023 14:30,6/3/2023 8:00,6/3/2023 16:37,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,U,U2,UNIVERSITY,40XX BLOCK OF ROOSEVELT WAY NE,-122.3178266,47.65659558
2023-152761,50925366979,6/2/2023 14:20,6/2/2023 14:24,6/2/2023 16:16,A,SOCIETY,DRUG/NARCOTIC OFFENSES,Drug/Narcotic Violations,35A,W,M,M3,DOWNTOWN COMMERCIAL,3XX BLOCK OF PIKE ST,-122.3372382,47.60998189
2023-909263,50926744492,6/2/2023 14:15,6/2/2023 15:30,6/2/2023 20:42,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,B,B1,BALLARD SOUTH,14XX BLOCK OF NW BALLARD WAY,-122.3748569,47.6629319
2023-909284,50932730269,6/2/2023 14:10,6/3/2023 11:45,6/3/2023 13:12,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K1,DOWNTOWN COMMERCIAL,4XX BLOCK OF SENECA ST,-122.3336587,47.60774723
2023-152915,50926001334,6/2/2023 13:30,,6/2/2023 18:09,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,B,B2,BALLARD SOUTH,55XX BLOCK OF 14TH AVE NW,-122.3735876,47.66905321
2023-909348,50943648452,6/2/2023 13:09,6/3/2023 19:45,6/5/2023 5:43,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE 49TH ST,-122.2982247,47.66431736
2023-909268,50927269349,6/2/2023 13:00,6/2/2023 14:00,6/2/2023 22:32,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,J,J3,ROOSEVELT/RAVENNA,73XX BLOCK OF E GREEN LAKE DR N,-122.3270826,47.68139945
2023-909255,50926702718,6/2/2023 13:00,6/2/2023 15:00,6/2/2023 20:33,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,N,B,B3,WALLINGFORD,19XX BLOCK OF N 40TH ST,-122.3344423,47.65562818
2023-909242,50925454888,6/2/2023 12:58,6/2/2023 13:07,6/2/2023 16:32,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,N,L,L3,LAKECITY,123XX BLOCK OF 36TH AVE NE,-122.2893222,47.71828634
2023-909259,50926705265,6/2/2023 12:53,6/2/2023 14:51,6/2/2023 20:33,A,PROPERTY,FRAUD OFFENSES,False Pretenses/Swindle/Confidence Game,26A,S,R,R3,COLUMBIA CITY,47XX BLOCK OF RAINIER AVE S,-122.2864886,47.5601082
2023-155656,50945729918,6/2/2023 12:45,,6/5/2023 11:44,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,K,K1,DOWNTOWN COMMERCIAL,10XX BLOCK OF 4TH AVE,-122.3332356,47.60644458
2023-909235,50924165570,6/2/2023 12:45,6/2/2023 12:45,6/2/2023 13:13,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G3,JUDKINS PARK/NORTH BEACON HILL,21XX BLOCK OF S JACKSON ST,-122.3038094,47.59927115
2023-152663,50924672229,6/2/2023 12:41,6/2/2023 12:50,6/2/2023 14:21,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,N,N2,NORTHGATE,15XX BLOCK OF N 115TH ST,-122.3380904,47.7123018
2023-909296,50937954408,6/2/2023 12:30,6/2/2023 18:45,6/4/2023 5:53,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,E,E,E2,FIRST HILL,9XX BLOCK OF E COLUMBIA ST,-122.319617,47.60923759
2023-909234,50924165183,6/2/2023 12:30,6/2/2023 12:30,6/2/2023 13:13,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,E,G,G3,JUDKINS PARK/NORTH BEACON HILL,22XX BLOCK OF S JACKSON ST,-122.3027592,47.59927791
2023-152646,50924956175,6/2/2023 12:20,6/2/2023 12:30,6/2/2023 14:57,A,PROPERTY,ROBBERY,Robbery,120,N,N,N3,NORTHGATE,N 85TH ST / AURORA AVE N,-122.3445219,47.69056259
2023-152637,50924013431,6/2/2023 12:16,,6/2/2023 12:46,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,E,E,E2,CAPITOL HILL,15XX BLOCK OF BROADWAY,-122.3207895,47.61465549
2023-152639,50924239385,6/2/2023 12:10,6/2/2023 12:16,6/2/2023 13:22,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,U,U3,ROOSEVELT/RAVENNA,26XX BLOCK OF NE UNIVERSITY VILLAGE ST,-122.2984112,47.66332336
2023-152627,50924078465,6/2/2023 12:05,,6/2/2023 12:57,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,4XX BLOCK OF 8TH AVE S,-122.3224465,47.59876685
2023-152475,50926054697,6/2/2023 12:00,6/2/2023 8:00,6/2/2023 18:23,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q3,QUEEN ANNE,2XX BLOCK OF W MERCER ST,-122.3599748,47.62459539
2023-152617,50924118865,6/2/2023 11:55,,6/2/2023 13:03,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,U,U2,UNIVERSITY,NE CAMPUS PKWY / UNIVERSITY WAY NE,-122.3132622,47.6562154
2023-152619,50925193354,6/2/2023 11:54,,6/2/2023 15:41,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,Q,Q2,QUEEN ANNE,6XX BLOCK OF W OLYMPIC PL,-122.3655662,47.62747856
2023-909250,50926657812,6/2/2023 11:38,6/2/2023 11:44,6/2/2023 20:22,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,B,B3,FREMONT,9XX BLOCK OF N 34TH ST,-122.3460923,47.64904096
2023-909240,50925394657,6/2/2023 11:38,6/2/2023 11:44,6/2/2023 16:22,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,N,B,B3,FREMONT,9XX BLOCK OF N 34TH ST,-122.3460923,47.64904097
2023-152648,50924635732,6/2/2023 11:30,,6/2/2023 14:17,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,W,D,D2,SLU/CASCADE,4TH AVE / BLANCHARD ST,-122.3426341,47.6146004
2023-152595,50924094570,6/2/2023 11:30,6/2/2023 12:57,6/2/2023 12:56,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,W,M,M3,DOWNTOWN COMMERCIAL,PIKE ST / 5TH AVE,-122.335574,47.6106779
2023-152571,50924515278,6/2/2023 11:09,,6/2/2023 14:04,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,12XX BLOCK OF S JACKSON ST,-122.3156801,47.59919954
2023-152564,50924256067,6/2/2023 11:02,6/2/2023 11:31,6/2/2023 13:26,A,PERSON,ASSAULT OFFENSES,Intimidation,13C,E,G,G2,JUDKINS PARK/NORTH BEACON HILL,3XX BLOCK OF 23RD AVE S,-122.3022349,47.59980121
2023-152536,50923321598,6/2/2023 10:26,6/2/2023 10:30,6/2/2023 10:55,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,SW,F,F1,HIGH POINT,63XX BLOCK OF 35TH AVE SW,-122.3764226,47.54559328
2023-152718,50924468629,6/2/2023 10:20,6/2/2023 13:00,6/2/2023 13:56,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,S,S3,RAINIER BEACH,94XX BLOCK OF RAINIER AVE S,-122.2639339,47.5199755
2023-152580,50925791024,6/2/2023 10:00,,6/2/2023 16:23,A,PROPERTY,FRAUD OFFENSES,Wire Fraud,26E,SW,F,F1,HIGH POINT,27XX BLOCK OF SW HOLDEN ST,-122.3679819,47.53371057
2023-152492,50922885824,6/2/2023 9:40,6/2/2023 9:44,6/2/2023 9:50,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,8XX BLOCK OF S KING ST,-122.3216957,47.59834608
2023-153230,50927574618,6/2/2023 9:29,6/2/2023 9:30,6/2/2023 23:30,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,SW,W,W1,ALKI,30XX BLOCK OF 63RD AVE SW,-122.4133158,47.57714937
2023-909251,50926659071,6/2/2023 9:00,6/2/2023 11:30,6/2/2023 20:23,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,W,M,M3,DOWNTOWN COMMERCIAL,6TH AVE / UNION ST,-122.3335561,47.61014984
2023-909228,50923401310,6/2/2023 9:00,6/2/2023 10:15,6/2/2023 11:13,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,S,O,O3,GEORGETOWN,73XX BLOCK OF 8TH AVE S,-122.3225753,47.5361806
2023-152428,50922724073,6/2/2023 8:52,6/2/2023 9:22,6/2/2023 9:22,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,E,C,C1,CAPITOL HILL,14XX BLOCK OF E DENNY WAY,-122.3135226,47.61865408
2023-909303,50938004823,6/2/2023 8:45,6/2/2023 8:50,6/4/2023 6:12,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,W,W1,NORTH DELRIDGE,38XX BLOCK OF DELRIDGE WAY SW,-122.3621066,47.57003893
2023-154714,50940020547,6/2/2023 8:30,6/3/2023 16:30,6/4/2023 14:55,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,J,J3,PHINNEY RIDGE,66XX BLOCK OF DAYTON AVE N,-122.3526276,47.67735939
2023-909217,50922946870,6/2/2023 8:00,6/2/2023 8:00,6/2/2023 10:03,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q3,QUEEN ANNE,2XX BLOCK OF W MERCER ST,-122.3599748,47.62459539
2023-152385,50922514457,6/2/2023 8:00,6/2/2023 8:00,6/2/2023 8:41,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q1,MAGNOLIA,33XX BLOCK OF W COMMODORE WAY,-122.404211,47.6659143
2023-909370,50945584225,6/2/2023 7:45,6/2/2023 7:55,6/5/2023 11:23,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,SW,W,W1,NORTH ADMIRAL,30XX BLOCK OF BELVIDERE AVE SW,-122.3792008,47.5765109
2023-152356,50922533388,6/2/2023 7:27,,6/2/2023 8:22,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,SW,F,F1,NORTH DELRIDGE,56XX BLOCK OF 23RD AVE SW,-122.3617565,47.5528129
2023-152340,50922246398,6/2/2023 7:07,6/2/2023 7:11,6/2/2023 8:04,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,E,C,C1,CENTRAL AREA/SQUIRE PARK,16XX BLOCK OF E OLIVE ST,-122.3108033,47.6164444
2023-152329,50922295729,6/2/2023 7:00,,6/2/2023 8:06,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,R,R1,NORTH BEACON HILL,18XX BLOCK OF S HORTON ST,-122.3076561,47.57404768
2023-153215,50930985435,6/2/2023 6:45,6/2/2023 6:51,6/3/2023 4:32,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,M,M2,DOWNTOWN COMMERCIAL,,0,0
2023-153215,50930981581,6/2/2023 6:45,6/2/2023 6:51,6/3/2023 4:32,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,M,M2,DOWNTOWN COMMERCIAL,,0,0
2023-152309,50921795819,6/2/2023 6:13,,6/2/2023 6:32,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q1,MAGNOLIA,31XX BLOCK OF W JAMESON ST,-122.39793,47.66005477
2023-152313,50922232387,6/2/2023 6:00,6/2/2023 6:20,6/2/2023 7:13,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,N,N2,BITTERLAKE,141XX BLOCK OF AURORA AVE N,-122.34507,47.73167414
2023-152313,50922404808,6/2/2023 6:00,6/2/2023 6:20,6/2/2023 7:13,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N2,BITTERLAKE,141XX BLOCK OF AURORA AVE N,-122.34507,47.73167414
2023-152313,50925640855,6/2/2023 6:00,6/2/2023 6:20,6/2/2023 7:13,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,N,N,N2,BITTERLAKE,141XX BLOCK OF AURORA AVE N,-122.34507,47.73167414
2023-152287,50921873914,6/2/2023 5:38,6/2/2023 5:38,6/2/2023 6:49,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q1,MAGNOLIA,17XX BLOCK OF W ARMORY WAY,-122.3774365,47.63833046
2023-152275,50922987432,6/2/2023 5:20,,6/2/2023 9:07,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,O,O2,SODO,33XX BLOCK OF 4TH AVE S,-122.3290597,47.57404129
2023-152268,50924168164,6/2/2023 5:14,,6/2/2023 13:12,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,S JACKSON ST / 5TH AVE S,-122.327667,47.59919493
2023-155638,50946885521,6/2/2023 5:00,,6/5/2023 14:42,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,SW,W,W2,ALASKA JUNCTION,47XX BLOCK OF FAUNTLEROY WAY SW,-122.3814565,47.5601804
2023-152491,50922959094,6/2/2023 5:00,6/2/2023 7:00,6/2/2023 9:53,A,PROPERTY,LARCENY-THEFT,Theft From Building,23D,SW,W,W1,NORTH ADMIRAL,27XX BLOCK OF CALIFORNIA AVE SW,-122.3866598,47.5783244
2023-152259,50873705225,6/2/2023 4:55,6/2/2023 5:03,6/2/2023 5:24,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,1XX BLOCK OF 6TH AVE S,-122.3263524,47.60129045
2023-152705,50925127555,6/2/2023 4:31,6/2/2023 4:45,6/2/2023 15:27,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N1,BITTERLAKE,1XX BLOCK OF N 136TH ST,-122.356918,47.728239
2023-153192,50927641488,6/2/2023 4:00,,6/2/2023 23:04,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,S,R,R3,COLUMBIA CITY,48XX BLOCK OF RAINIER AVE S,-122.2856856,47.55906499
2023-152382,50922407152,6/2/2023 3:50,6/2/2023 7:56,6/2/2023 8:23,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,S,O,O3,GEORGETOWN,62XX BLOCK OF CARLETON AVE S,-122.3204026,47.54657841
2023-153041,50926640601,6/2/2023 3:49,6/2/2023 3:56,6/2/2023 20:17,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,Q,Q1,MAGNOLIA,24XX BLOCK OF 34TH AVE W,-122.4009926,47.64004087
2023-152831,50925854634,6/2/2023 3:49,,6/2/2023 17:09,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,Q,Q1,MAGNOLIA,24XX BLOCK OF 34TH AVE W,-122.4009926,47.64004087
2023-152231,50923574843,6/2/2023 3:30,6/2/2023 3:30,6/2/2023 11:29,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B1,BALLARD SOUTH,52XX BLOCK OF LEARY AVE NW,-122.3814946,47.66613372
2023-909266,50927027291,6/2/2023 3:28,6/2/2023 3:42,6/2/2023 21:42,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,E,G,G2,CENTRAL AREA/SQUIRE PARK,4XX BLOCK OF 30TH AVE,-122.2936747,47.60567507
2023-909266,50949175023,6/2/2023 3:28,6/2/2023 3:42,6/2/2023 21:42,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,G,G2,CENTRAL AREA/SQUIRE PARK,4XX BLOCK OF 30TH AVE,-122.2936747,47.60567507
2023-909434,50953097399,6/2/2023 3:00,6/4/2023 3:00,6/6/2023 11:53,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,N,N,N2,BITTERLAKE,122XX BLOCK OF AURORA AVE N,-122.3448961,47.71717447
2023-909281,50932532303,6/2/2023 2:25,6/2/2023 2:30,6/3/2023 12:22,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,S,O,O2,GEORGETOWN,2ND AVE S / S ORCAS ST,-122.3324049,47.55189241
2023-152194,50927036269,6/2/2023 1:58,,6/2/2023 21:36,B,SOCIETY,DRIVING UNDER THE INFLUENCE,Driving Under the Influence,90D,N,L,L2,ROOSEVELT/RAVENNA,9TH AVE NE / NE 75TH ST,-122.318582,47.683124
2023-152612,50923930843,6/2/2023 1:50,6/2/2023 2:00,6/2/2023 12:32,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,N,N1,BITTERLAKE,112XX BLOCK OF PHINNEY AVE N,-122.3541737,47.71143388
2023-909213,50922887401,6/2/2023 1:45,6/2/2023 1:45,6/2/2023 9:53,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,E,E3,FIRST HILL,11XX BLOCK OF PIKE ST,-122.3283588,47.61369803
2023-152188,50873423611,6/2/2023 1:45,6/2/2023 2:00,6/2/2023 3:58,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,N,N1,BITTERLAKE,3XX BLOCK OF N 105TH ST,-122.3547824,47.70508155
2023-152177,50873459446,6/2/2023 1:10,6/2/2023 1:12,6/2/2023 2:15,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W3,MORGAN,,0,0
2023-152177,50952717031,6/2/2023 1:10,6/2/2023 1:12,6/2/2023 2:15,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,SW,W,W3,MORGAN,,0,0
2023-152163,50871481710,6/2/2023 0:53,6/2/2023 0:54,6/2/2023 1:47,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,E,G,G3,MADRONA/LESCHI,11XX BLOCK OF M L KING JR WAY S,-122.2978266,47.59297514
2023-152163,50871486344,6/2/2023 0:53,6/2/2023 0:54,6/2/2023 1:47,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,E,G,G3,MADRONA/LESCHI,11XX BLOCK OF M L KING JR WAY S,-122.2978266,47.59297514
2023-909459,50954399421,6/2/2023 0:25,6/2/2023 0:46,6/6/2023 15:13,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,W,D,D3,EASTLAKE - WEST,22XX BLOCK OF YALE AVE E,-122.3271102,47.63898727
2023-152192,50873480714,6/2/2023 0:05,,6/2/2023 4:12,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,N,N,N1,BITTERLAKE,3XX BLOCK OF N 125TH ST,-122.354873,47.71959953
2023-154930,50940633108,6/2/2023 0:00,,6/4/2023 17:04,A,PERSON,SEX OFFENSES,Sexual Assault With An Object,11C,N,J,J2,UNKNOWN,,0,0
2023-154672,50939028699,6/2/2023 0:00,6/2/2023 23:59,6/4/2023 11:18,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,E,G,G2,CENTRAL AREA/SQUIRE PARK,7XX BLOCK OF 17TH AVE,-122.3102318,47.60861577
2023-153950,50933493560,6/2/2023 0:00,6/3/2023 8:30,6/3/2023 16:03,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,J,J1,GREENWOOD,2XX BLOCK OF N 103RD ST,-122.356651,47.70364225
2023-152859,50926418235,6/2/2023 0:00,,6/2/2023 19:32,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,U,U3,ROOSEVELT/RAVENNA,,0,0
2023-152561,50923882095,6/2/2023 0:00,6/2/2023 11:00,6/2/2023 12:19,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,N,N1,BALLARD NORTH,8XX BLOCK OF NW 97TH ST,-122.3667192,47.70014762
2023-152114,50873283375,6/1/2023 23:48,6/2/2023 0:14,6/2/2023 2:56,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,O,O2,SODO,27XX BLOCK OF 4TH AVE S,-122.3290571,47.57876777
2023-152183,50873419249,6/1/2023 23:43,,6/2/2023 3:51,A,PROPERTY,FRAUD OFFENSES,Credit Card/Automated Teller Machine Fraud,26B,N,N,N2,BITTERLAKE,132XX BLOCK OF AURORA AVE N,-122.3449968,47.72503555
2023-152123,50921994913,6/1/2023 23:40,6/1/2023 23:58,6/2/2023 6:44,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,Q,Q3,SLU/CASCADE,6XX BLOCK OF 3RD AVE N,-122.3514838,47.62500382
2023-152108,50871507531,6/1/2023 23:38,,6/2/2023 0:42,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,E,G,G2,CENTRAL AREA/SQUIRE PARK,20XX BLOCK OF E YESLER WAY,-122.3056979,47.60167271
2023-152362,50922760173,6/1/2023 23:30,6/2/2023 6:50,6/2/2023 9:27,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,B,B1,BALLARD SOUTH,15XX BLOCK OF NW 51ST ST,-122.3775536,47.66570701
2023-152103,50871319056,6/1/2023 23:28,,6/2/2023 1:21,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,D,D1,BELLTOWN,1XX BLOCK OF VINE ST,-122.3492524,47.61558159
2023-152117,50873271188,6/1/2023 23:27,6/1/2023 23:34,6/2/2023 2:27,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,N,N,N2,BITTERLAKE,132XX BLOCK OF AURORA AVE N,-122.3449968,47.72503555
2023-152104,50870892816,6/1/2023 23:20,6/1/2023 23:25,6/2/2023 0:10,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,W,W3,ROXHILL/WESTWOOD/ARBOR HEIGHTS,98XX BLOCK OF 41ST AVE SW,-122.3846596,47.51469807
2023-152052,50871158874,6/1/2023 22:27,,6/2/2023 0:01,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,S,R,R2,NORTH BEACON HILL,27XX BLOCK OF RAINIER AVE S,-122.2991587,47.57967225
2023-152026,50870895646,6/1/2023 21:58,,6/2/2023 0:06,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,J,J2,BALLARD NORTH,65XX BLOCK OF 23RD AVE NW,-122.3853574,47.676833
2023-152022,50870522977,6/1/2023 21:50,6/1/2023 22:30,6/1/2023 22:16,A,PROPERTY,LARCENY-THEFT,Shoplifting,23C,N,L,L2,NORTHGATE,3XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2023-152603,50923949167,6/1/2023 21:30,6/2/2023 7:30,6/2/2023 12:30,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,9XX BLOCK OF S JACKSON ST,-122.320332,47.59918733
2023-909220,50923000372,6/1/2023 21:30,6/2/2023 5:00,6/2/2023 10:12,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,U,U1,UNIVERSITY,22XX BLOCK OF NE 53RD ST,-122.3026759,47.66710003
2023-151999,50870573310,6/1/2023 21:26,6/1/2023 21:28,6/1/2023 22:32,A,SOCIETY,WEAPON LAW VIOLATIONS,Weapon Law Violations,520,S,S,S2,BRIGHTON/DUNLAP,S WEBSTER ST / 43RD AVE S,-122.2793546,47.53521435
2023-152284,50931112656,6/1/2023 21:00,6/2/2023 5:35,6/3/2023 5:29,A,PROPERTY,BURGLARY/BREAKING&ENTERING,Burglary/Breaking & Entering,220,SW,W,W2,ALASKA JUNCTION,47XX BLOCK OF CALIFORNIA AVE SW,-122.386804,47.560216
2023-152654,50930707776,6/1/2023 21:00,6/2/2023 12:00,6/3/2023 3:46,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,N,U,U2,UNIVERSITY,47XX BLOCK OF 9TH AVE NE,-122.3183926,47.66356591
