Report Number,Offense ID,Offense Start DateTime,Offense End DateTime,Report DateTime,Group A B,Crime Against Category,Offense Parent Group,Offense,Offense Code,Precinct,Sector,Beat,MCPP,100 Block Address,Longitude,Latitude
2023-153166,50927104380,6/2/2023 21:02,6/2/2023 21:21,6/2/2023 21:53,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,E,E,E1,CAPITOL HILL,1XX BLOCK OF BROADWAY E,-122.3208637,47.61932364
2023-153945,50937823839,6/2/2023 21:00,6/3/2023 14:00,6/4/2023 5:17,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,SW,F,F1,HIGH POINT,64XX BLOCK OF 31ST AVE SW,-122.3711686,47.5449469
2023-153156,50927041249,6/2/2023 20:54,6/2/2023 20:54,6/2/2023 21:34,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,K,K1,DOWNTOWN COMMERCIAL,7XX BLOCK OF 1ST AVE,-122.3346078,47.60291195
2023-153158,50927044918,6/2/2023 20:51,,6/2/2023 21:44,B,SOCIETY,TRESPASS OF REAL PROPERTY,Trespass of Real Property,90J,W,K,K3,CHINATOWN/INTERNATIONAL DISTRICT,10XX BLOCK OF S JACKSON ST,-122.3184307,47.59918657
2023-909295,50937953874,6/2/2023 20:50,6/2/2023 22:30,6/4/2023 5:53,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,M,M2,DOWNTOWN COMMERCIAL,6XX BLOCK OF PINE ST,-122.3348178,47.61236844
2023-153141,50926759759,6/2/2023 20:36,,6/2/2023 20:40,A,PROPERTY,STOLEN PROPERTY OFFENSES,Stolen Property Offenses,280,SW,F,F3,HIGHLAND PARK,,0,0
2023-153803,50932843643,6/2/2023 20:30,6/3/2023 10:30,6/3/2023 13:32,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,J,J2,BALLARD NORTH,77XX BLOCK OF JONES AVE NW,-122.3864683,47.68589564
2023-153719,50932448733,6/2/2023 20:30,6/3/2023 11:00,6/3/2023 11:58,A,PROPERTY,LARCENY-THEFT,Theft of Motor Vehicle Parts or Accessories,23G,N,N,N2,NORTHGATE,143XX BLOCK OF LENORA PL N,-122.343408,47.732665
2023-153148,50928590915,6/2/2023 20:25,6/2/2023 20:26,6/2/2023 21:19,A,PROPERTY,ROBBERY,Robbery,120,SW,W,W1,COMMERCIAL HARBOR ISLAND,16TH AVE SW / KLICKITAT AVE SW,-122.3532044,47.57267326
2023-153137,50927402870,6/2/2023 20:22,6/2/2023 21:00,6/2/2023 22:52,A,PROPERTY,ROBBERY,Robbery,120,E,C,C1,CAPITOL HILL,14XX BLOCK OF E JOHN ST,-122.3139102,47.61995898
2023-153693,50933143053,6/2/2023 20:00,6/3/2023 0:00,6/3/2023 14:36,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,B,B2,BALLARD SOUTH,63XX BLOCK OF 8TH AVE NW,-122.3660671,47.6749009
2023-909279,50932062266,6/2/2023 20:00,6/2/2023 22:30,6/3/2023 10:22,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,S,O,O3,GEORGETOWN,58XX BLOCK OF CORSON AVE S,-122.3206592,47.54995748
2023-909274,50931227796,6/2/2023 20:00,6/2/2023 21:00,6/3/2023 6:12,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,W,M,M1,DOWNTOWN COMMERCIAL,14XX BLOCK OF WESTERN AVE,-122.3406699,47.60786035
2023-153752,50933018114,6/2/2023 19:50,6/3/2023 0:15,6/3/2023 13:51,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,W,K,K1,DOWNTOWN COMMERCIAL,4XX BLOCK OF SENECA ST,-122.3336587,47.60774723
2023-153103,50926616231,6/2/2023 19:50,6/2/2023 19:55,6/2/2023 20:11,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,U,U1,ROOSEVELT/RAVENNA,NE 65TH ST / 12TH AVE NE,-122.315658,47.67581493
2023-153095,50926644350,6/2/2023 19:41,,6/2/2023 20:12,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,L,L2,NORTHGATE,3XX BLOCK OF NE NORTHGATE WAY,-122.3246152,47.7086028
2023-153089,50927152972,6/2/2023 19:36,6/2/2023 20:29,6/2/2023 22:07,A,PERSON,ASSAULT OFFENSES,Simple Assault,13B,N,U,U3,SANDPOINT,75XX BLOCK OF 56TH AVE NE,-122.2679988,47.6822794
2023-909503,50961656165,6/2/2023 19:35,6/6/2023 19:35,6/7/2023 13:43,A,PROPERTY,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Destruction/Damage/Vandalism of Property,290,W,D,D3,SLU/CASCADE,12XX BLOCK OF JOHN ST,-122.331057,47.6196669
2023-154648,50939224069,6/2/2023 19:30,6/3/2023 7:30,6/4/2023 12:03,A,PROPERTY,MOTOR VEHICLE THEFT,Motor Vehicle Theft,240,N,N,N2,BITTERLAKE,,0,0
2023-154648,50939236257,6/2/2023 19:30,6/3/2023 7:30,6/4/2023 12:03,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,N,N,N2,BITTERLAKE,,0,0
2023-909273,50927617686,6/2/2023 19:20,6/2/2023 21:15,6/2/2023 23:42,A,PROPERTY,LARCENY-THEFT,Theft From Motor Vehicle,23F,E,E,E2,CAPITOL HILL,11XX BLOCK OF BROADWAY,-122.3207612,47.61211135
2023-153076,50926752611,6/2/2023 19:20,6/2/2023 19:26,6/2/2023 20:40,A,PERSON,ASSAULT OFFENSES,Aggravated Assault,13A,S,O,O2,GEORGETOWN,,0,0
2023-153730,50932702888,6/2/2023 19:18,6/2/2023 19:18,6/3/2023 13:03,A,PROPERTY,LARCENY-THEFT,All Other Larceny,23H,SW,W,W2,ALASKA JUNCTION,44XX BLOCK OF 42ND AVE SW,-122.385454,47.56377896
